2J4ZB	AURKA_HUMAN	DFGin	None	626	1395	Type1
2J4ZA	AURKA_HUMAN	DFGinter	None	626	1389	Type1
2BMCF	AURKA_HUMAN	DFGinter	None	MPY	1395	Type1
2BMCE	AURKA_HUMAN	DFGinter	None	MPY	1395	Type1
2BMCD	AURKA_HUMAN	DFGinter	None	MPY	1395	Type1
2BMCC	AURKA_HUMAN	DFGinter	None	MPY	1394	Type1
2BMCB	AURKA_HUMAN	DFGinter	None	MPY	1395	Type1
2BMCA	AURKA_HUMAN	DFGinter	None	MPY	1395	Type1
1MUOA	AURKA_HUMAN	DFGinter	None	ADN	1	Type1
4ZTSA	AURKA_HUMAN	DFGinter	None	4RK	501	Type1.5_Back
4ZTRA	AURKA_HUMAN	DFGinter	None	4RJ	501	Type1.5_Back
4ZTQA	AURKA_HUMAN	DFGinter	None	4RM	501	Type1.5_Back
4ZS0A	AURKA_HUMAN	DFGin	BLAminus	4QV	501	Type1
6Z4YA	AURKA_HUMAN	DFGinter	None	Q7Q	508	Type1.5_Front
2X6EA	AURKA_HUMAN	DFGin	BLAminus	YM4	1389	Type1
2X6DA	AURKA_HUMAN	DFGin	BLAminus	X6D	1391	Type1
5ONEA	AURKA_HUMAN	DFGin	ABAminus	9YQ	501	Type1
6I2UA	AURKA_HUMAN	DFGin	BLAminus	COA	501	Type1
6GRAA	AURKA_HUMAN	DFGin	ABAminus	F8Z	501	Type1.5_Front
4BYJA	AURKA_HUMAN	None	None	FH5	1	Type1
4BYIA	AURKA_HUMAN	DFGin	ABAminus	FH3	1	Type1
4BN1A	AURKA_HUMAN	DFGin	BLAminus	ADP	1391	Type1
2DWBA	AURKA_HUMAN	DFGin	BLAminus	ANP	502	Type1
2WTWA	AURKA_HUMAN	DFGin	ABAminus	ZZL	1390	Type1
2WTVD	AURKA_HUMAN	DFGinter	None	ZZL	1390	Type1
2WTVC	AURKA_HUMAN	DFGinter	None	ZZL	1392	Type1
2WTVB	AURKA_HUMAN	DFGinter	None	ZZL	1390	Type1
2WTVA	AURKA_HUMAN	DFGinter	None	ZZL	1390	Type1
6CPGD	AURKA_HUMAN	DFGinter	None	35R	501	Type1
6CPGA	AURKA_HUMAN	DFGinter	None	35R	501	Type1
6CPFA	AURKA_HUMAN	DFGin	BLAminus	ACP	501	Type1
6C83B	AURKA_HUMAN	DFGinter	None	ACP	501	Type1
6C83A	AURKA_HUMAN	None	None	ACP	501	Type1
2XNGA	AURKA_HUMAN	DFGin	BLAminus	A0H	1391	Type1
4B0GA	AURKA_HUMAN	None	None	VEK	1392	Type1
1OL7A	AURKA_HUMAN	DFGin	BLAminus	ADP	531	Type1
1OL5A	AURKA_HUMAN	DFGin	BLAminus	ADP	1388	Type1
4O0SA	AURKA_HUMAN	DFGin	BLAminus	ADN	500	Type1
5G15A	AURKA_HUMAN	DFGin	BLAminus	ACP	1391	Type1
4C3RA	AURKA_HUMAN	DFGinter	None	ACP	1389	Type1
4C3PD	AURKA_HUMAN	DFGin	ABAminus	ACP	1391	Type1
4C3PA	AURKA_HUMAN	DFGin	None	ACP	1389	Type1
5ZANA	AURKA_HUMAN	DFGin	BLAminus	9A6	501	Type1
6R4DA	AURKA_HUMAN	DFGin	BLAminus	ADP	501	Type1
6R4DA	AURKA_HUMAN	DFGin	BLAminus	JRW	505	Allosteric
6R4CA	AURKA_HUMAN	DFGin	BLAminus	ADP	501	Type1
6R4CA	AURKA_HUMAN	DFGin	BLAminus	JRQ	507	Allosteric
6R4BA	AURKA_HUMAN	DFGin	BLAminus	ADP	501	Type1
6R4BA	AURKA_HUMAN	DFGin	BLAminus	JSN	508	Allosteric
6R4AA	AURKA_HUMAN	DFGin	BLAminus	ADP	501	Type1
6R4AA	AURKA_HUMAN	DFGin	BLAminus	JRT	510	Allosteric
6R49A	AURKA_HUMAN	DFGin	BLAminus	ADP	501	Type1
6R49A	AURKA_HUMAN	DFGin	BLAminus	JSB	504	Allosteric
5L8LA	AURKA_HUMAN	DFGinter	None	ADP	501	Type1
